espn_id,name,abbreviation
2132,Cincinnati Bearcats,CIN
151,East Carolina Pirates,ECU
248,Houston Cougars,HOU
235,Memphis Tigers,MEM
2426,Navy Midshipmen,NAVY
2567,SMU Mustangs,SMU
58,South Florida Bulls,USF
218,Temple Owls,TEM
2655,Tulane Green Wave,TULN
202,Tulsa Golden Hurricane,TLSA
2116,UCF Knights,UCF
41,UConn Huskies,CONN
103,Boston College Eagles,BC
228,Clemson Tigers,CLEM
150,Duke Blue Devils,DUKE
52,Florida State Seminoles,FSU
59,Georgia Tech Yellow Jackets,GT
97,Louisville Cardinals,LOU
2390,Miami Hurricanes,MIA
152,NC State Wolfpack,NCST
153,North Carolina Tar Heels,UNC
221,Pittsburgh Panthers,PITT
183,Syracuse Orange,SYR
258,Virginia Cavaliers,UVA
259,Virginia Tech Hokies,VT
154,Wake Forest Demon Deacons,WAKE
239,Baylor Bears,BAY
66,Iowa State Cyclones,ISU
2305,Kansas Jayhawks,KU
2306,Kansas State Wildcats,KSU
201,Oklahoma Sooners,OKLA
197,Oklahoma State Cowboys,OKST
2628,TCU Horned Frogs,TCU
251,Texas Longhorns,TEX
2641,Texas Tech Red Raiders,TTU
277,West Virginia Mountaineers,WVU
356,Illinois Fighting Illini,ILL
84,Indiana Hoosiers,IND
2294,Iowa Hawkeyes,IOWA
120,Maryland Terrapins,MD
127,Michigan State Spartans,MSU
130,Michigan Wolverines,MICH
135,Minnesota Golden Gophers,MINN
158,Nebraska Cornhuskers,NEB
77,Northwestern Wildcats,NW
194,Ohio State Buckeyes,OSU
213,Penn State Nittany Lions,PSU
2509,Purdue Boilermakers,PUR
164,Rutgers Scarlet Knights,RUTG
275,Wisconsin Badgers,WIS
2429,Charlotte 49ers,CLT
2226,Florida Atlantic Owls,FAU
2229,Florida International Panthers,FIU
2348,Louisiana Tech Bulldogs,LAT
276,Marshall Thundering Herd,MRSH
2393,Middle Tennessee Blue Raiders,MTSU
249,North Texas Mean Green,UNT
295,Old Dominion Monarchs,ODU
242,Rice Owls,RICE
2572,Southern Mississippi Golden Eagles,USM
5,UAB Blazers,UAB
2638,UTEP Miners,UTEP
2636,UTSA Roadrunners,UTSA
98,Western Kentucky Hilltoppers,WKU
349,Army Black Knights,ARMY
252,BYU Cougars,BYU
2335,Liberty Flames,LIB
166,New Mexico State Aggies,NMSU
87,Notre Dame Fighting Irish,ND
113,UMass Minutemen,MASS
2006,Akron Zips,AKR
2050,Ball State Cardinals,BALL
189,Bowling Green Falcons,BGSU
2084,Buffalo Bulls,BUFF
2117,Central Michigan Chippewas,CMU
2199,Eastern Michigan Eagles,EMU
2309,Kent State Golden Flashes,KENT
193,Miami (OH) RedHawks,M-OH
2459,Northern Illinois Huskies,NIU
195,Ohio Bobcats,OHIO
2649,Toledo Rockets,TOL
2711,Western Michigan Broncos,WMU
2005,Air Force Falcons,AFA
68,Boise State Broncos,BSU
36,Colorado State Rams,CSU
278,Fresno State Bulldogs,FRES
62,Hawai'i Rainbow Warriors,HAW
2440,Nevada Wolf Pack,NEV
167,New Mexico Lobos,UNM
21,San Diego State Aztecs,SDSU
23,San Jose State Spartans,SJSU
2439,UNLV Rebels,UNLV
328,Utah State Aggies,USU
2751,Wyoming Cowboys,WYO
9,Arizona State Sun Devils,ASU
12,Arizona Wildcats,ARIZ
25,California Golden Bears,CAL
38,Colorado Buffaloes,COLO
2483,Oregon Ducks,ORE
204,Oregon State Beavers,ORST
24,Stanford Cardinal,STAN
26,UCLA Bruins,UCLA
30,USC Trojans,USC
254,Utah Utes,UTAH
264,Washington Huskies,WASH
265,Washington State Cougars,WSU
333,Alabama Crimson Tide,ALA
8,Arkansas Razorbacks,ARK
2,Auburn Tigers,AUB
57,Florida Gators,FLA
61,Georgia Bulldogs,UGA
96,Kentucky Wildcats,UK
99,LSU Tigers,LSU
344,Mississippi State Bulldogs,MSST
142,Missouri Tigers,MIZ
145,Ole Miss Rebels,MISS
2579,South Carolina Gamecocks,SC
2633,Tennessee Volunteers,TENN
245,Texas A&M Aggies,TA&M
238,Vanderbilt Commodores,VAN
2026,Appalachian State Mountaineers,APP
2032,Arkansas State Red Wolves,ARST
324,Coastal Carolina Chanticleers,CCU
290,Georgia Southern Eagles,GASO
2247,Georgia State Panthers,GAST
309,Louisiana Ragin' Cajuns,UL
6,South Alabama Jaguars,USA
326,Texas State Bobcats,TXST
2653,Troy Trojans,TROY
2433,UL Monroe Warhawks,ULM
